rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp	blog	web	TVM	spok	fic	mag	news	acad	blogPM	webPM	TVMPM	spokPM	ficPM	magPM	newsPM	acadPM
325	kill	v	307305	309.46	0.05	0.01	93220	0.98	28888	33915	101848	44757	35060	23406	30494	8937	232.49	263.70	795.22	354.83	296.31	185.63	250.48	74.61
326	minute	n	306541	308.19	0.03	0.01	115039	0.97	23995	23578	66657	38683	42486	62021	38099	10555	193.11	183.32	520.45	306.68	359.07	491.87	312.95	88.11
327	party	n	304325	306.46	0.22	0.01	90544	0.97	48499	44801	34231	51977	18158	30963	41557	34139	390.32	348.34	267.27	412.07	153.46	245.56	341.35	284.99
328	include	v	304197	306.33	0.02	0.00	138613	0.94	37859	51754	3443	14139	5865	46976	56708	87453	304.69	402.40	26.88	112.09	49.57	372.56	465.80	730.05
329	stand	v	303462	305.59	0.05	0.01	126265	0.95	28235	31544	35701	33589	100834	32435	26667	14457	227.24	245.26	278.75	266.29	852.20	257.23	219.05	120.69
330	together	r	302942	305.10	0.04	0.01	140543	0.99	32870	36337	51733	42092	42951	41649	30147	25189	264.54	282.53	403.93	333.70	363.00	330.31	247.63	210.28
331	back	n	302390	304.51	0.11	0.01	127370	0.97	29894	28950	56424	39407	78561	33074	28383	7697	240.59	225.09	440.56	312.42	663.96	262.30	233.14	64.25
332	follow	v	300266	302.38	0.09	0.00	149183	0.98	40625	47393	25143	23697	42271	38775	33148	49214	326.95	368.49	196.32	187.87	357.25	307.52	272.28	410.83
333	health	n	300262	302.37	0.21	0.01	76574	0.93	37846	44818	5283	37375	4704	45571	43207	81458	304.59	348.47	41.25	296.31	39.76	361.41	354.91	680.00
334	remember	v	298221	300.32	0.15	0.01	119181	0.98	36064	32305	69382	45018	59982	25293	20654	9523	290.24	251.18	541.73	356.90	506.94	200.59	169.65	79.50
335	often	r	295709	297.79	0.04	0.00	138420	0.96	40984	44672	6734	19876	21327	57333	39367	65416	329.84	347.34	52.58	157.58	180.25	454.69	323.36	546.09
336	reason	n	295577	297.65	0.02	0.00	139000	0.97	57836	50945	27706	40107	24396	31570	27063	35954	465.47	396.11	216.33	317.97	206.18	250.37	222.30	300.14
337	speak	v	295523	297.60	0.05	0.01	125756	0.98	35576	39083	36107	51100	55507	26197	28934	23019	286.32	303.88	281.92	405.12	469.12	207.76	237.67	192.16
338	ago	r	294921	296.99	0.01	0.01	147127	0.98	39299	33081	39466	54214	32409	36540	49729	10183	316.28	257.21	308.15	429.81	273.90	289.79	408.48	85.01
339	set	v	293144	295.20	0.05	0.01	150470	0.98	34797	41617	27241	27539	40114	48194	43805	29841	280.05	323.58	212.70	218.33	339.02	382.22	359.82	249.11
340	black	j	293101	295.16	0.25	0.06	90069	0.97	27944	27134	22292	28683	56187	56767	39682	34412	224.89	210.97	174.05	227.40	474.86	450.21	325.95	287.27
341	member	n	292596	294.65	0.05	0.01	117752	0.96	36144	44438	8532	38670	10430	36374	57953	60055	290.89	345.52	66.62	306.57	88.15	288.47	476.03	501.33
342	community	n	290489	292.53	0.10	0.00	93642	0.94	39164	36706	5851	30734	5457	33164	50729	88684	315.19	285.40	45.68	243.66	46.12	263.02	416.69	740.33
343	once	r	290446	292.49	0.14	0.01	147052	0.98	35569	37109	32162	28101	58045	42504	33798	23158	286.26	288.53	251.12	222.78	490.57	337.09	277.62	193.32
344	social	j	290372	292.41	0.18	0.00	79234	0.91	41239	40985	4830	17504	6004	30406	24990	124414	331.89	318.67	37.71	138.77	50.74	241.14	205.27	1038.60
345	news	n	289175	291.21	0.36	0.04	118749	0.94	35608	33984	22323	95009	16301	30442	44480	11028	286.58	264.23	174.30	753.23	137.77	241.43	365.36	92.06
346	allow	v	288559	290.59	0.02	0.00	141816	0.97	48095	47645	14603	27501	18568	41973	42777	47397	387.07	370.45	114.02	218.03	156.93	332.88	351.37	395.67
347	win	v	288308	290.33	0.03	0.01	106125	0.96	46055	37355	31897	41989	12199	35544	73822	9447	370.65	290.44	249.05	332.89	103.10	281.89	606.38	78.86
348	body	n	287817	289.84	0.04	0.01	99814	0.97	28445	38813	32931	23111	58497	48077	20694	37249	228.93	301.78	257.12	183.22	494.39	381.29	169.98	310.95
349	lead	v	285740	287.75	0.03	0.00	145208	0.97	37094	41288	14380	26994	25757	43547	49221	47459	298.53	321.02	112.28	214.01	217.69	345.36	404.31	396.18
350	continue	v	282352	284.34	0.04	0.01	141888	0.97	40915	41537	9684	43420	33374	35961	39356	38105	329.29	322.96	75.61	344.23	282.06	285.20	323.27	318.10
351	whether	c	280973	282.95	0.10	0.00	132485	0.96	39616	43724	8225	52605	15051	35439	38172	48144	318.83	339.96	64.22	417.05	127.20	281.06	313.55	401.90
352	enough	r	280789	282.76	0.03	0.01	135267	0.98	41628	35453	45382	27601	54878	36071	26514	13262	335.02	275.66	354.34	218.82	463.80	286.07	217.79	110.71
353	spend	v	280371	282.34	0.02	0.00	137565	0.98	44051	38112	25732	38282	28553	42966	45494	17181	354.52	296.33	200.91	303.50	241.32	340.75	373.69	143.43
354	level	n	279770	281.74	0.02	0.00	106185	0.93	39618	41170	8428	20898	8089	35180	26525	99862	318.85	320.11	65.81	165.68	68.36	279.00	217.88	833.64
355	able	j	279559	281.52	0.01	0.00	140543	0.97	51049	45299	22778	48161	22851	32644	26886	29891	410.84	352.21	177.85	381.82	193.13	258.89	220.84	249.53
356	political	j	279410	281.37	0.05	0.00	78381	0.93	36433	34834	3215	47048	3906	30672	41666	81636	293.21	270.84	25.10	373.00	33.01	243.25	342.25	681.49
357	almost	r	279393	281.37	0.08	0.00	142288	0.98	34786	34136	26260	36061	50540	41013	32639	23973	279.96	265.42	205.04	285.89	427.14	325.26	268.10	200.12
358	boy	n	279283	281.25	0.15	0.02	82069	0.97	17903	22417	82411	25589	69484	22614	24717	14148	144.08	174.30	643.46	202.87	587.24	179.35	203.03	118.11
359	university	n	279132	281.09	0.75	0.01	98566	0.93	24272	31735	3533	19846	7994	53432	58803	79517	195.34	246.75	27.59	157.34	67.56	423.76	483.01	663.80
360	before	c	276286	278.23	0.17	0.01	139602	0.98	32671	34360	46405	35893	56265	31698	26249	12817	262.94	267.16	362.33	284.56	475.52	251.39	215.61	107.00
361	stay	v	275504	277.44	0.12	0.01	123404	0.98	27267	25784	76159	38604	43687	28463	27606	7934	219.45	200.48	594.65	306.05	369.22	225.73	226.76	66.23
362	add	v	275233	277.17	0.13	0.01	136115	0.95	42621	42495	6548	16784	19513	64532	57976	24764	343.02	330.41	51.13	133.06	164.91	511.79	476.22	206.73
363	later	r	274178	276.10	0.11	0.01	138240	0.98	24368	30737	29030	34204	44297	45432	42782	23328	196.11	238.99	226.66	271.17	374.38	360.31	351.42	194.74
364	change	n	274132	276.06	0.05	0.01	109959	0.95	41240	44206	11850	24760	11165	35595	33122	72194	331.90	343.71	92.52	196.30	94.36	282.30	272.07	602.67
365	five	m	270274	272.17	0.12	0.01	138288	0.98	20891	25469	34356	38093	30245	41765	51604	27851	168.13	198.03	268.25	302.00	255.62	331.23	423.88	232.50
366	probably	r	269732	271.63	0.08	0.00	129357	0.98	46149	36701	40591	48982	31803	27860	22854	14792	371.41	285.36	316.93	388.33	268.78	220.95	187.72	123.48
367	center	n	268821	270.71	0.46	0.01	118722	0.95	24905	31354	8390	23949	16362	49289	74315	40257	200.44	243.79	65.51	189.87	138.28	390.90	610.43	336.06
368	among	i	267798	269.68	0.13	0.00	123983	0.94	23052	33648	4097	19270	17266	43559	47863	79043	185.52	261.62	31.99	152.77	145.92	345.46	393.15	659.84
369	face	n	266458	268.33	0.03	0.01	98283	0.92	20544	24879	32772	19871	113315	25785	16633	12659	165.34	193.44	255.88	157.54	957.68	204.49	136.63	105.68
370	public	j	265061	266.92	0.14	0.00	102202	0.95	34860	40383	5681	31299	6292	31968	52542	62036	280.56	313.99	44.36	248.14	53.18	253.53	431.58	517.87
371	die	v	264537	266.40	0.04	0.01	99409	0.99	22724	29335	63987	31736	45688	28395	30831	11841	182.88	228.09	499.61	251.60	386.13	225.19	253.25	98.85
372	food	n	262697	264.54	0.11	0.01	84027	0.97	39542	40129	22462	21226	21701	52500	39651	25486	318.24	312.01	175.38	168.28	183.41	416.37	325.70	212.75
373	else	r	261804	263.64	0.01	0.01	120297	0.98	40060	33466	57005	36219	45798	22021	18871	8364	322.40	260.21	445.09	287.14	387.06	174.64	155.01	69.82
374	history	n	261045	262.88	0.12	0.01	109468	0.96	33518	39238	13210	26842	12596	37640	37130	60871	269.75	305.09	103.14	212.80	106.46	298.51	304.99	508.15
375	buy	v	260201	262.03	0.06	0.01	108421	0.97	45641	36251	34894	28863	27186	40662	39727	6977	367.32	281.86	272.45	228.83	229.76	322.48	326.32	58.24
376	result	n	259961	261.79	0.06	0.01	108505	0.93	35672	40948	5775	17490	5903	34667	26715	92791	287.09	318.38	45.09	138.66	49.89	274.94	219.44	774.61
377	morning	n	259129	260.95	0.10	0.04	103266	0.95	18687	18241	46586	75383	51243	22888	21241	4860	150.39	141.83	363.74	597.63	433.08	181.52	174.48	40.57
378	off	i	258852	260.67	0.03	0.01	129583	0.98	31361	27208	43854	28525	51735	33737	34703	7728	252.39	211.55	342.41	226.15	437.24	267.56	285.05	64.51
379	parent	n	258181	260.00	0.06	0.01	80569	0.98	28014	30408	23849	34150	26661	36359	36807	41933	225.46	236.43	186.21	270.74	225.33	288.35	302.34	350.05
380	office	n	258157	259.97	0.17	0.02	107097	0.97	26902	34053	25234	31931	32222	33467	54889	19459	216.51	264.77	197.03	253.15	272.32	265.42	450.86	162.44
381	course	r	257245	259.05	0.01	0.01	117204	0.98	37914	29785	48064	51880	38639	22979	13269	14715	305.13	231.59	375.28	411.30	326.56	182.24	108.99	122.84
382	send	v	256309	258.11	0.05	0.01	122015	0.99	30763	35887	42453	35580	34300	31266	31528	14532	247.58	279.03	331.47	282.08	289.89	247.96	258.97	121.31
383	research	n	255123	256.92	0.21	0.01	77419	0.90	24460	31152	5397	12460	4771	38665	23491	114727	196.86	242.21	42.14	98.78	40.32	306.64	192.96	957.73
384	walk	v	253671	255.45	0.05	0.01	103164	0.95	21846	23552	38453	27898	83650	26531	24616	7125	175.82	183.12	300.24	221.17	706.97	210.41	202.20	59.48
385	door	n	252623	254.40	0.03	0.01	83921	0.91	14453	18293	37316	17815	118047	21080	19751	5868	116.32	142.23	291.36	141.24	997.68	167.18	162.24	48.99
386	white	j	251664	253.43	0.18	0.06	87559	0.97	27565	23969	18025	20986	54933	42588	31006	32592	221.84	186.36	140.74	166.38	464.27	337.76	254.69	272.08
387	several	d	251543	253.31	0.11	0.00	133126	0.96	30655	35640	5436	21690	24689	41187	44408	47838	246.71	277.11	42.44	171.96	208.66	326.64	364.77	399.35
388	court	n	250891	252.65	0.34	0.00	61922	0.93	22646	34684	12710	48215	8413	21582	52267	50374	182.26	269.68	99.24	382.25	71.10	171.16	429.33	420.52
389	home	r	250331	252.09	0.05	0.01	107398	0.98	20201	20053	65576	29174	51216	26223	30055	7833	162.58	155.92	512.01	231.29	432.85	207.97	246.87	65.39
390	grow	v	248803	250.55	0.03	0.01	122760	0.98	31165	31258	20103	25829	37571	45953	37794	19130	250.82	243.04	156.96	204.77	317.53	364.44	310.44	159.70
391	better	j	247453	249.19	0.03	0.01	131486	0.98	46892	38048	34390	27031	20957	32790	27882	19483	377.39	295.83	268.52	214.30	177.12	260.05	229.03	162.64
392	open	v	247043	248.78	0.08	0.01	117627	0.97	21405	25014	33329	20643	64242	28760	40303	13347	172.27	194.49	260.23	163.66	542.94	228.09	331.05	111.42
393	moment	n	246362	248.09	0.03	0.01	106821	0.96	25286	25472	24720	44905	66679	26256	19057	13987	203.50	198.05	193.01	356.01	563.54	208.23	156.54	116.76
394	including	i	245445	247.17	0.01	0.00	136459	0.95	30737	39912	3953	19238	6273	41542	56780	47010	247.37	310.33	30.86	152.52	53.02	329.46	466.40	392.44
395	consider	v	244644	246.36	0.08	0.01	124787	0.96	38841	40565	10945	21112	16765	31297	30516	54603	312.59	315.40	85.46	167.38	141.69	248.21	250.66	455.82
396	both	r	244397	246.11	0.07	0.00	130572	0.97	33837	37194	14323	22417	20184	34953	24968	56521	272.32	289.19	111.83	177.72	170.59	277.20	205.09	471.83
397	such	i	244165	245.88	0.01	0.00	107524	0.93	27270	38289	1621	5592	3822	50534	38262	78775	219.47	297.71	12.66	44.33	32.30	400.77	314.29	657.61
398	little	r	244049	245.76	0.05	0.01	118439	0.98	27595	24670	59393	42380	38383	21943	20472	9213	222.09	191.82	463.74	335.99	324.39	174.02	168.16	76.91
399	within	i	243714	245.43	0.09	0.00	111265	0.95	29298	37454	8272	19817	16129	33285	22864	76595	235.79	291.21	64.59	157.11	136.31	263.98	187.81	639.41
400	second	m	243485	245.20	0.17	0.01	125264	0.97	31181	35185	15882	24097	22345	29676	41325	43794	250.95	273.57	124.01	191.04	188.85	235.35	339.45	365.59
401	late	j	242755	244.46	0.05	0.01	136240	0.99	28035	29805	29681	28769	25940	37154	35537	27834	225.63	231.74	231.75	228.08	219.23	294.66	291.90	232.36
402	street	n	242552	244.26	0.39	0.02	93927	0.97	23679	23370	22859	33029	48575	27651	51783	11606	190.57	181.71	178.48	261.85	410.53	219.29	425.35	96.89
403	free	j	242338	244.04	0.13	0.02	107865	0.97	46258	42371	21383	18465	17739	28858	43405	23859	372.29	329.44	166.96	146.39	149.92	228.87	356.53	199.17
404	better	r	241827	243.53	0.06	0.01	122869	0.99	37244	31016	55086	24283	29036	26701	22693	15769	299.74	241.16	430.11	192.52	245.40	211.76	186.40	131.64
405	everyone	p	241313	243.01	0.19	0.01	115564	0.98	47741	37516	38478	27441	34471	24566	23076	8055	384.22	291.70	300.43	217.55	291.33	194.83	189.55	67.24
406	policy	n	240181	241.87	0.09	0.00	71724	0.94	35017	35699	3427	34268	1899	27191	30869	71811	281.82	277.57	26.76	271.68	16.05	215.65	253.56	599.47
407	table	n	238887	240.57	0.36	0.15	77338	0.93	13189	19459	12917	12275	54177	32611	15190	79069	106.15	151.30	100.86	97.32	457.88	258.63	124.77	660.06
408	sorry	j	237541	239.21	0.28	0.01	61080	0.91	16238	12330	155466	17263	29115	3553	2990	586	130.68	95.87	1213.87	136.86	246.07	28.18	24.56	4.89
409	care	n	237259	238.93	0.07	0.01	81586	0.97	30180	35133	27133	35268	13556	27716	30651	37622	242.89	273.17	211.85	279.60	114.57	219.81	251.77	314.07
410	low	j	237027	238.69	0.05	0.01	104349	0.96	31028	31906	9439	16822	22077	40715	26501	58539	249.71	248.08	73.70	133.36	186.58	322.90	217.68	488.68
411	human	j	236187	237.85	0.11	0.00	84923	0.96	30788	40675	14632	19261	17927	34223	19460	59221	247.78	316.26	114.25	152.70	151.51	271.41	159.85	494.37
412	please	r	236175	237.83	0.47	0.02	76278	0.94	28834	26113	125569	15360	23377	7735	6784	2403	232.06	203.03	980.44	121.77	197.57	61.34	55.72	20.06
413	hope	v	235945	237.60	0.05	0.01	122579	0.98	40240	29875	41801	37177	29745	20308	27454	9345	323.85	232.29	326.38	294.74	251.39	161.06	225.51	78.01
414	TRUE	j	235467	235.92	0.08	0.01	112738	0.98	40780	41121	32670	34767	23740	24309	16263	20628	328.20	319.73	255.09	275.63	200.64	192.79	133.59	172.20
415	process	n	235304	236.96	0.02	0.00	92958	0.93	32102	35658	4654	25516	5281	27721	22144	82228	258.36	277.25	36.34	202.29	44.63	219.85	181.89	686.43
416	teacher	n	234642	236.29	0.10	0.00	45678	0.86	19388	20455	8415	12213	11215	13866	23181	125909	156.04	159.04	65.70	96.82	94.78	109.97	190.41	1051.08
417	data	n	234516	236.16	0.09	0.01	55100	0.90	34450	42548	4784	6347	4990	31794	14823	94780	277.26	330.82	37.35	50.32	42.17	252.15	121.76	791.21
418	offer	v	234189	235.83	0.01	0.00	122150	0.97	32013	31925	11240	15051	19954	44981	41403	37622	257.64	248.22	87.76	119.32	168.64	356.73	340.09	314.07
419	death	n	233153	234.79	0.08	0.01	88712	0.99	24470	34866	28533	30565	29465	28192	32090	24972	196.94	271.09	222.78	242.32	249.02	223.58	263.59	208.46
420	whole	j	233110	234.75	0.03	0.01	114247	0.98	32007	29347	47210	41152	30084	24316	17683	11311	257.59	228.18	368.61	326.25	254.26	192.84	145.25	94.42
421	experience	n	232376	234.01	0.02	0.00	97344	0.94	40064	36614	7890	19314	8730	28400	23356	68008	322.44	284.68	61.60	153.12	73.78	225.23	191.85	567.72
422	plan	n	231629	233.26	0.06	0.01	96633	0.97	29652	32215	24352	31721	13032	31433	44832	24392	238.64	250.48	190.14	251.48	110.14	249.29	368.25	203.62
423	easy	j	231262	200.09	0.06	0.01	113642	0.98	33343	28974	29997	18534	18405	35698	20632	13111	268.35	225.28	234.22	146.94	155.55	283.11	169.47	109.45
424	education	n	231036	232.66	0.21	0.00	58077	0.88	24115	26262	2483	14179	2777	19052	27736	114432	194.08	204.19	19.39	112.41	23.47	151.10	227.83	955.27
425	build	v	230071	231.69	0.04	0.00	111042	0.97	34781	31880	15464	22643	17180	43823	39582	24718	279.92	247.87	120.74	179.51	145.20	347.55	325.13	206.34
426	expect	v	229855	231.47	0.02	0.00	125625	0.98	33945	32294	19497	28938	24084	27753	39314	24030	273.19	251.09	152.23	229.42	203.55	220.10	322.93	200.60
427	fall	v	229161	230.77	0.03	0.01	115257	0.97	25010	29963	27482	19614	53047	29612	28225	16208	201.28	232.97	214.58	155.50	448.33	234.85	231.84	135.30
428	himself	p	228757	230.36	0.02	0.00	94500	0.95	19870	31919	17057	23857	68328	26376	24768	16582	159.91	248.18	133.18	189.14	577.47	209.18	203.45	138.43
429	age	n	228610	230.22	0.13	0.01	98570	0.96	26381	32828	11492	19061	19169	37649	33875	48155	212.32	255.25	89.73	151.12	162.01	298.59	278.25	401.99
430	hard	j	228234	229.84	0.03	0.01	123968	0.98	36841	31465	28380	34531	26963	32380	26937	10737	296.50	244.65	221.59	273.76	227.88	256.80	221.26	89.63
431	sense	n	226539	228.13	0.02	0.00	109491	0.98	34045	34144	17843	33544	23000	27977	19749	36237	274.00	265.48	139.32	265.94	194.38	221.88	162.22	302.50
432	across	i	226402	227.99	0.04	0.00	111700	0.96	20632	23628	10242	23424	55831	31089	27580	33976	166.05	183.71	79.97	185.70	471.86	246.56	226.54	283.63
433	show	n	225884	227.47	0.09	0.02	79289	0.96	28553	27506	26365	53222	11066	33782	39420	5970	229.80	213.87	205.86	421.94	93.52	267.92	323.80	49.84
434	early	j	224665	226.24	0.06	0.01	114261	0.96	24329	29596	8546	19949	15942	40343	32359	53601	195.80	230.12	66.73	158.16	134.73	319.95	265.80	447.46
435	college	n	224634	226.21	0.26	0.01	77103	0.95	26523	27685	11844	17429	12831	27452	45479	55391	213.46	215.26	92.48	138.18	108.44	217.72	373.57	462.40
436	music	n	222767	224.33	0.15	0.02	56504	0.95	22506	26700	18010	24596	18795	24457	32923	54780	181.13	207.60	140.62	195.00	158.85	193.96	270.43	457.30
437	appear	v	221287	222.84	0.01	0.00	114874	0.97	26083	35139	8376	17037	28643	34773	29853	41383	209.92	273.21	65.40	135.07	242.08	275.78	245.22	345.46
438	mind	n	220441	221.99	0.03	0.01	106193	0.98	32261	35565	31669	25070	40533	22326	15314	17703	259.64	276.53	247.27	198.75	342.56	177.06	125.79	147.78
439	class	n	219160	220.70	0.09	0.01	77006	0.96	32508	31128	16708	15123	16774	21393	31712	53814	261.63	242.03	130.46	119.89	141.77	169.66	260.49	449.23
440	police	n	219041	220.58	0.19	0.01	59422	0.93	17732	21217	27075	50836	17378	15486	59903	9414	142.71	164.97	211.40	403.03	146.87	122.82	492.05	78.59
441	use	n	218006	219.54	0.04	0.00	86433	0.92	26716	37115	4966	9943	6687	29657	19758	83164	215.01	288.58	38.77	78.83	56.52	235.20	162.29	694.25
442	effect	n	217999	219.53	0.04	0.00	82486	0.92	26299	32153	5378	16597	7604	29321	16574	84073	211.66	250.00	41.99	131.58	64.27	232.54	136.14	701.83
443	season	n	217695	219.22	0.06	0.01	69473	0.91	35498	29155	5815	11312	5854	38844	84158	7059	285.69	226.69	45.40	89.68	49.48	308.06	691.28	58.93
444	tax	n	217131	218.66	0.05	0.01	44623	0.93	45695	44810	3494	42628	2363	22105	42061	13976	367.76	348.41	27.28	337.95	19.97	175.31	345.49	116.67
445	heart	n	216345	217.87	0.08	0.01	95536	0.98	24164	31581	34641	22528	36817	32608	20374	13632	194.47	245.55	270.48	178.60	311.16	258.61	167.35	113.80
446	son	n	216216	217.74	0.10	0.01	77983	0.99	17277	25123	52864	23563	31278	24721	30323	11067	139.05	195.34	412.76	186.81	264.35	196.06	249.08	92.39
447	art	n	215981	217.50	0.29	0.02	59156	0.94	20127	23387	10298	10487	12105	41538	41833	56206	161.98	181.84	80.41	83.14	102.31	329.43	343.62	469.20
448	possible	j	213803	215.31	0.02	0.00	114860	0.97	34069	36516	16075	22008	15420	27497	20653	41565	274.19	283.92	125.51	174.48	130.32	218.07	169.65	346.98
449	serve	v	213511	215.01	0.08	0.02	101964	0.96	24175	28471	9810	16840	11831	43486	43565	35333	194.56	221.37	76.60	133.51	99.99	344.88	357.85	294.96
450	break	v	213364	214.86	0.05	0.01	112062	0.99	24160	25913	41113	26774	33869	26322	24908	10305	194.44	201.48	321.01	212.26	286.24	208.75	204.60	86.03
451	although	c	212390	213.88	0.53	0.00	103863	0.94	25424	29594	5284	11836	17283	31078	24876	67015	204.61	230.10	41.26	93.84	146.07	246.47	204.33	559.44
452	end	v	212174	213.66	0.09	0.07	117691	0.97	31204	30761	21105	40789	18821	25331	31484	12679	251.13	239.17	164.79	323.37	159.07	200.89	258.61	105.84
453	market	n	210848	212.33	0.06	0.01	67782	0.95	35274	28444	4798	21887	5773	37996	42785	33891	283.89	221.16	37.46	173.52	48.79	301.34	351.44	282.92
454	even	c	210702	212.18	0.26	0.00	117733	0.97	40080	35014	14699	22955	27083	27147	22064	21681	322.57	272.24	114.77	181.99	228.89	215.30	181.24	180.99
455	air	n	210307	211.78	0.21	0.03	86402	0.97	17580	21237	16978	30591	46153	33482	27892	16394	141.48	165.12	132.56	242.52	390.06	265.54	229.11	136.86
456	force	n	210010	211.49	0.17	0.00	78196	0.96	19694	29020	11076	35116	10843	29092	34537	40632	158.50	225.64	86.48	278.40	91.64	230.72	283.69	339.19
457	require	v	209616	211.09	0.01	0.00	96762	0.94	30218	39543	4746	10466	6895	31704	27978	58066	243.20	307.46	37.06	82.97	58.27	251.44	229.81	484.73
458	foot	n	209334	210.80	0.02	0.01	85190	0.95	14285	17881	21923	14092	61876	42780	26252	10245	114.97	139.03	171.17	111.72	522.95	339.28	215.64	85.52
459	up	i	209243	210.71	0.05	0.01	116461	0.98	26609	24426	31095	27504	42077	26731	22378	8424	214.15	189.92	242.79	218.05	355.61	212.00	183.81	70.32
460	listen	v	208819	210.29	0.25	0.01	85732	0.97	18040	17693	74341	32380	35669	12746	10306	7644	145.19	137.57	580.45	256.71	301.46	101.09	84.65	63.81
461	agree	v	208506	209.97	0.03	0.00	99513	0.96	44775	34294	15001	38207	15528	17952	24599	18150	360.35	266.64	117.13	302.90	131.24	142.37	202.06	151.51
462	according	i	208405	209.87	0.33	0.00	111296	0.94	25661	32824	6142	13552	5394	38947	49460	36425	206.52	255.21	47.96	107.44	45.59	308.88	406.27	304.07
463	anyone	p	207907	209.37	0.10	0.01	104697	0.97	45467	35954	36497	18157	28644	19101	18111	5985	365.92	279.55	284.97	143.95	242.08	151.49	148.77	49.96
464	baby	n	207577	209.04	0.12	0.01	60141	0.97	18635	19798	71651	23941	31941	23553	13852	4206	149.98	153.93	559.45	189.80	269.95	186.79	113.78	35.11
465	wrong	j	206856	208.31	0.04	0.01	91741	0.98	34359	27722	57722	29731	24021	14072	12996	6233	276.52	215.55	450.69	235.71	203.01	111.60	106.75	52.03
466	love	n	206700	208.15	0.13	0.01	78059	0.98	26562	34461	45402	18832	29163	24318	16562	11400	213.77	267.94	354.50	149.30	246.47	192.86	136.04	95.17
467	cut	v	205886	207.33	0.13	0.06	95917	0.97	22614	21556	27415	25581	35915	35831	29098	7876	182.00	167.60	214.06	202.81	303.54	284.17	239.01	65.75
468	decide	v	205447	206.89	0.02	0.00	114381	0.98	31422	29893	19726	31239	27187	25224	25810	14946	252.89	232.43	154.02	247.66	229.77	200.05	212.01	124.77
469	republican	n	204793	206.23	0.97	0.00	41933	0.90	36806	34223	1193	76853	603	17127	33769	4219	296.22	266.09	9.31	609.29	5.10	135.83	277.38	35.22
470	full	j	204252	205.69	0.05	0.01	116773	0.98	30583	33606	20452	16899	31163	28780	23481	19288	246.13	261.29	159.69	133.97	263.37	228.25	192.88	161.01
471	behind	i	203530	204.96	0.06	0.01	105274	0.95	19458	19927	19407	22850	64058	24102	23396	10332	156.60	154.94	151.53	181.15	541.39	191.15	192.18	86.25
472	pass	v	203033	204.46	0.03	0.00	103389	0.98	24216	28344	18850	24985	39575	25064	27330	14669	194.89	220.38	147.18	198.08	334.47	198.78	224.49	122.46
473	interest	n	202642	204.07	0.03	0.00	90553	0.95	28484	31325	6873	21442	10143	25495	27264	51616	229.24	243.56	53.66	169.99	85.72	202.20	223.95	430.89
474	sometimes	r	201833	203.25	0.30	0.00	106284	0.99	26885	26600	24188	23928	31754	27917	22788	17773	216.37	206.82	188.86	189.70	268.37	221.40	187.18	148.37
475	security	n	201542	202.96	0.30	0.01	66989	0.96	24140	30180	14343	41331	9407	22622	34190	25328	194.28	234.66	111.99	327.67	79.50	179.41	280.84	211.44
476	eat	v	201315	202.73	0.06	0.01	75748	0.98	25267	24626	43738	15698	38087	30298	15885	7716	203.35	191.47	341.50	124.45	321.89	240.29	130.48	64.41
477	report	v	201020	202.43	0.02	0.00	88806	0.94	19975	25856	7383	28307	5686	25809	31224	56780	160.76	201.04	57.65	224.42	48.06	204.69	256.48	473.99
478	control	n	200879	202.29	0.09	0.01	85573	0.96	24321	27582	14274	19994	12729	26984	21464	53531	195.74	214.46	111.45	158.51	107.58	214.00	176.31	446.87
479	rate	n	200828	202.24	0.02	0.00	66229	0.94	29275	31618	3754	17348	3458	31893	31076	52406	235.61	245.84	29.31	137.53	29.23	252.94	255.26	437.48
480	local	j	200668	202.08	0.03	0.00	92046	0.96	26538	26832	5771	17783	9478	31696	39273	43297	213.58	208.63	45.06	140.98	80.10	251.37	322.59	361.44
481	suggest	v	200560	201.97	0.01	0.00	95759	0.95	24505	26501	8510	16940	11219	30328	19140	63417	197.22	206.05	66.45	134.30	94.82	240.52	157.22	529.40
482	report	n	200188	201.59	0.12	0.01	84743	0.96	22646	29126	11073	37405	6938	24796	35976	32228	182.26	226.46	86.46	296.55	58.64	196.65	295.51	269.04
483	nation	n	200021	201.43	0.24	0.03	77821	0.95	25920	34035	4279	36448	3658	25660	37389	32632	208.61	264.63	33.41	288.96	30.92	203.50	307.12	272.41
484	sell	v	198982	200.38	0.03	0.01	86812	0.97	29951	24139	22753	21956	15166	33027	41289	10701	241.05	187.69	177.65	174.07	128.18	261.93	339.15	89.33
485	action	n	198530	199.92	0.07	0.01	87981	0.96	31263	35784	9465	22168	8303	23516	24907	43124	251.61	278.23	73.90	175.75	70.17	186.50	204.59	360.00
486	support	v	198185	199.58	0.03	0.00	93003	0.95	36369	33896	4869	25415	4566	23328	24623	45119	292.70	263.55	38.02	201.49	38.59	185.01	202.26	376.65
487	wife	n	197306	198.69	0.03	0.01	76847	0.98	16600	19732	38499	25970	37539	23298	26730	8938	133.60	153.42	300.60	205.89	317.26	184.77	219.56	74.61
488	decision	n	196426	197.81	0.02	0.00	87248	0.96	28637	27081	11023	32082	7508	20148	29693	40254	230.47	210.56	86.07	254.35	63.45	159.79	243.90	336.04
